input,target
"Maria's test scores are 80, 70, and 90. What score does she need to get on a fourth test so that her average score for the four tests is exactly 85?",Determine the total points needed for the desired average by multiplying the average by the number of tests. & Calculate the sum of the scores she already has. & Subtract the sum of the current scores from the total points needed to find the required score on the fourth test.
"Four small panda bears and five bigger panda bears eat 25 pounds and 40 pounds of fresh bamboo sprouts every day, respectively. How many pounds of bamboo do the 9 pandas eat in a week?",Calculate the daily bamboo consumption for each group of pandas. & Sum the daily consumption of both groups to find the total daily consumption. & Multiply the total daily consumption by the number of days in a week.
"Violet is trying to figure out whether she should buy a family pass to the aquarium for $120 or pay for tickets separately. If adult tickets cost $35 and children's tickets cost $20, and Violet's family has 1 adult and 6 children, how much will she pay if she buys separate tickets?",Calculate the total cost for the children's tickets by multiplying the number of children by the cost per child. & Add the cost of the adult ticket to the total cost of the children's tickets.
"Liam is teaching art to a group of 10 students. He has 20 art kits that he hands out to the students to share, 1 art kit for 2 students. From those art kits half the students make 3 artworks each and half the students make 4 artworks each. How many artistic works does the whole class create?",Determine how many students make each number of artworks. & Calculate the total number of artworks made by each group of students. & Sum the artworks from both groups to find the total.
Lara is baking cookies using four baking trays. She places five rows of cookies on a baking tray where there are six cookies in one row. How many cookies is she baking?,Determine the number of cookies on one tray by multiplying the number of rows by the number of cookies per row. & Calculate the total number of cookies by multiplying the number of cookies on one tray by the number of trays.
John repairs 5 cars.  3 of the cars take 40 minutes each to repair.  The remaining ones take 50% longer each to repair.  He makes $20 per hour repairing cars.  How much money does he make?,Determine the total time for the first set of cars. & Calculate the additional time for the remaining cars. & Sum the total repair time. & Convert the total time into hours. & Multiply the hours by the hourly rate.
"Holden's current master bedroom is 309 sq ft and his master bath is 150 sq ft.  If he wants to add a home office/personal gym divided space that is twice as large as his bedroom and bathroom, how much sq ft will this new room have?","First, find the total area of the bedroom and bathroom by adding their areas together. & Next, multiply the total area by 2 to find the size of the new room."
Julian has 80 Facebook friends. 60% are boys and 40% are girls. Boyd has twice as many friends who are girls and has 100 friends total. What percentage of Boyd’s friends are boys?,Determine the number of girls among Julian's friends by using the given percentage. & Calculate the number of girls among Boyd's friends by doubling the number of girls among Julian's friends. & Subtract the number of girls from Boyd's total friends to find the number of boys. & Divide the number of boys by Boyd's total friends and multiply by 100 to find the percentage.
"To run his grocery store, Mr. Haj needs $4000 a day. This money is used to pay for orders done, delivery costs and employees' salaries. If he spends 2/5 of the total operation costs on employees' salary and 1/4 of the remaining amount on delivery costs, how much money does he pay for the orders done?","First, determine the portion of the total daily cost allocated to employee salaries. & Next, subtract the amount spent on salaries from the total daily cost to find the remaining amount. & Then, calculate the portion of the remaining amount spent on delivery costs. & Finally, subtract the delivery costs from the remaining amount to find the money spent on orders."
John works 12 hours every other day.  He gets a 30% raise from his former $20 an hour job.  How much does he make in a 30 day month?,Determine the number of days John works in a 30-day month by considering he works every other day. & Calculate the total hours worked in the month by multiplying the number of days worked by the hours worked each day. & Find the new hourly wage by calculating the raise and adding it to the former hourly wage. & Compute the total earnings by multiplying the new hourly wage by the total hours worked.
Jake agrees to work part of his debt off.  He owed someone $100 but paid them $40 before agreeing to work off the rest.   He worked for $15 an hour.  How many hours did he have to work?,Subtract the amount Jake paid from the total debt to find the remaining debt. & Divide the remaining debt by the hourly wage to find the number of hours Jake needs to work.
There are 20 boys and 11 girls in the second grade and twice that number in the third grade. How many students are in grades 2 and 3?,"First, find the total number of students in the second grade by adding the number of boys and girls. & Next, determine the number of students in the third grade by doubling the total number of students in the second grade. & Finally, add the number of students in both grades to find the total number of students."
"Borgnine wants to see 1100 legs at the zoo. He has already seen 12 chimps, 8 lions, and 5 lizards. He is next headed to see the tarantulas. How many tarantulas does he need to see to meet his goal?",Determine the total number of legs seen so far by multiplying the number of each animal by the number of legs they have. & Sum the legs of all the animals seen so far to find the total legs seen. & Subtract the total legs seen from the goal to find the remaining legs needed. & Divide the remaining legs by the number of legs each tarantula has to find the number of tarantulas needed.
"A spiral notebook costs $15, and a personal planner costs $10. How much would it cost in total to buy 4 spiral notebooks and 8 personal planners at a 20% discount?",Determine the discount amount by multiplying the original price by the discount rate. & Subtract the discount amount from the original price to find the discounted price. & Multiply the discounted price by the quantity to find the total cost for each item. & Add the total costs of both items to find the overall total.
Todd has $20. He buys 4 candy bars that cost $2 each. How much money in dollars does Todd have left?,Determine the total cost by multiplying the number of candy bars by the cost of each. & Subtract the total cost from the initial amount of money Todd has.
"Trent cries 2 tears for every three onions he chops. He needs to chop 4 onions per pot of soup. If he's making 6 pots of soup, how many tears does he cry?",Calculate the total number of onions by multiplying the number of onions per pot by the number of pots. & Determine the number of sets of onions by dividing the total number of onions by the number of onions per set. & Find the total number of tears by multiplying the number of sets by the number of tears per set.
"Brittany has 3 gerbils: Puffy, Muffy, and Scruffy. Puffy weighs 5 ounces more than Muffy. Muffy weighs 3 ounces less than Scruffy.  If Scruffy weighs 12 ounces, how much would the scale indicate, in ounces, if Brittany put Puffy and Muffy on the scale?",Determine Muffy's weight by subtracting 3 ounces from Scruffy's weight. & Find Puffy's weight by adding 5 ounces to Muffy's weight. & Add the weights of Puffy and Muffy to find the total weight on the scale.
John buys 4 pounds of beef.  He uses all but 1 pound in soup.  He uses twice as many pounds of vegetables as beef.  How many pounds of vegetables did he use?,Determine how much beef John used by subtracting the amount left from the total. & Calculate the pounds of vegetables by multiplying the used beef by two.
Osborn is testing a new way to get dressed in the morning on school days so he goes faster and can get up later. He tracks his time for the week and on Monday is takes him 2 minutes. On Tuesday it takes him 4 minutes. On Wednesday it takes him 3 minutes. On Thursday it takes him 4 minutes. Before Friday arrives he looks at his old way of getting dressed and sees that it was taking him 3 minutes on average to get dressed. How fast does he have to get dressed on Friday so his weekly average ties his old method?,Calculate the total time for the week by multiplying the average time by the number of days. & Sum the times taken from Monday to Thursday. & Subtract the sum of the times from Monday to Thursday from the total weekly time to find the required time for Friday.
"Rob and Mark plan to meet at the national park. It takes 1 hour for Rob to get to the national park and it takes three times as much time for Mark to get to the national park. If Rob leaves his home at 11 a.m., at what time should Mark leave his home so that they both arrive at the same time?",Determine how long it takes for Mark to get to the national park by multiplying Rob's travel time by three. & Calculate the difference in travel time between Rob and Mark. & Subtract the difference in travel time from Rob's departure time to find when Mark should leave.
"Jenny's property tax rate is 2%. Her house is currently worth $400,000. The city is about to build a new high-speed rail project nearby, which will increase her house's value by 25%. Jenny can only afford to spend $15,000/year on property tax. How many dollars worth of improvements can she make to her house before her property tax bill gets too high?",Calculate the increase in house value by multiplying the initial value by 25%. & Add the increase to the initial value to find the new house value. & Divide the maximum property tax Jenny can afford by the tax rate to find the maximum house value. & Subtract the new house value from the maximum house value to determine the allowable improvement value.
"If there are four times as many red crayons as blue crayons in a box, and there are 3 blue crayons.  How many crayons total are in the box?",Identify the number of red crayons by multiplying the number of blue crayons by four. & Add the number of red crayons to the number of blue crayons to find the total.
"Brenda raises mice, and her adult mice recently had three litters of 8 each. She gave a sixth of the baby mice to her friend Robbie to keep as pets. She sold three times the number of babies she gave Robbie to a pet store. Half of the remaining mice were sold to snake owners as feeder mice. How many baby mice did Brenda have left?",Calculate the total number of baby mice by multiplying the number of litters by the number of babies per litter. & Determine the number of mice given to Robbie by dividing the total number of baby mice by six. & Find the number of mice sold to the pet store by multiplying the number given to Robbie by three. & Subtract the number of mice given to Robbie and sold to the pet store from the total number of baby mice to find the remaining mice. & Calculate the number of mice sold as feeder mice by dividing the remaining mice by two. & Subtract the number of feeder mice from the remaining mice to find the final number of baby mice left.
A magazine costs $3 each. Jewel bought 10 magazines to be sold at $3.50 each. How much will be Jewel gain from selling these?,Determine the difference between the selling price and the cost price for one magazine. & Multiply the gain per magazine by the total number of magazines.
"Leila went to the supermarket to get some groceries. Then she headed to her mechanic to get her automobile fixed. If fixing her automobile cost $350 which was $50 more than thrice the amount she spent at the supermarket, how much has she spent altogether?",Identify the relationship between the cost of fixing the automobile and the amount spent at the supermarket. & Determine the amount spent at the supermarket by reversing the given relationship. & Calculate the total expenditure by adding the amounts spent at the supermarket and on fixing the automobile.
"On a shopping trip in a crowded store, Josie had to wait 3 minutes for a cart, 13 minutes for an employee to unlock a cabinet to get her a product, 14 minutes for a stocker to restock a shelf with what she wanted, and 18 minutes in line to check out. Her shopping trip took an hour and a half. How many minutes did Josie spend shopping instead of waiting?",Convert the total time from hours to minutes. & Sum up all the waiting times. & Subtract the total waiting time from the total time to find the shopping time.
"In 10 years, Terry will be 4 times the age that Nora is currently. If Nora is currently 10 years old, how old is Terry now?",Determine Terry's age in 10 years by multiplying Nora's current age by 4. & Subtract 10 years from Terry's age in 10 years to find his current age.
"A frog lays 800 eggs a year.  10 percent dry up, and 70 percent are eaten.  1/4 of the remaining eggs end up hatching, how many frogs hatch out of the 800?","First, determine how many eggs dry up by calculating 10 percent of the total eggs. & Next, find out how many eggs are eaten by calculating 70 percent of the total eggs. & Subtract the dried-up and eaten eggs from the total to find the remaining eggs. & Finally, calculate one-fourth of the remaining eggs to find out how many hatch."
"Elvis is releasing a new album with 10 songs, but he doesn't want to waste too much time on writing. He spends 5 hours in the studio, where he writes, records, and edits his songs. Each song takes 12 minutes to record, then it takes 30 minutes to edit all of his songs.   How many minutes did it take Elvis to write each song, if each song took the same amount of time to write?",Convert hours to minutes. & Calculate the total time spent recording. & Subtract the time spent recording and editing from the total studio time. & Divide the remaining time by the number of songs.
"Teresa scored 70 marks in science, 80 in music, 85 in social studies, and the physics exam, which was the hardest test that Teresa had ever taken in her entire life, she scored half as many marks as she scored in music. Calculate the total marks Teresa scored in all the subjects.",Identify the marks scored in each subject. & Determine the marks scored in physics by using the given relationship with music. & Sum the marks from all subjects to find the total.
"Brian likes to read books.  He read one book that had 20 chapters, two books that had 15 chapters each, and one book that had half the chapters of the three previous books put together. How many chapters of books did Brian read?","First, calculate the total chapters from the two books with 15 chapters each. & Next, add the chapters from the book with 20 chapters to this total. & Then, determine the chapters in the last book by taking half of the cumulative total so far. & Finally, sum all the chapters to find the total number of chapters Brian read."
Ruth is counting the number of spots on her cow. The cow has 16 spots on its left side and three times that number plus 7 on its right side. How many spots does it have total?,Multiply the number of spots on the left side by 3 to find the base number of spots on the right side. & Add 7 to the base number of spots on the right side to get the total spots on the right side. & Add the number of spots on the left side to the total spots on the right side to find the total number of spots.
Matt orders 15 pounds of beef.  He cuts that into 12-ounce steaks.  How many steaks does he get?,Convert pounds to ounces by multiplying by 16. & Divide the total ounces by the weight of each steak to find the number of steaks.
"Jennifer will be 30 years old in ten years. At that time, her sister Jordana will be three times as old Jennifer. How old is Jennifer's sister now?",Determine Jennifer's current age by subtracting ten years from her future age. & Calculate Jordana's age in ten years by multiplying Jennifer's future age by three. & Find Jordana's current age by subtracting ten years from her age in ten years.
"Merry had 50 boxes of apples on Saturday and 25 boxes on Sunday. There were 10 apples in each box. If she sold a total of 720 apples on Saturday and Sunday, how many boxes of apples are left?","First, find the total number of boxes Merry had by adding the boxes from Saturday and Sunday. & Next, calculate the total number of apples by multiplying the total number of boxes by the number of apples per box. & Subtract the number of apples sold from the total number of apples to find the remaining apples. & Finally, divide the remaining apples by the number of apples per box to find the number of boxes left."
A taco truck buys 100 pounds of beef.  They use .25 pounds of beef per taco.  If they sell each taco for $2 and each taco takes $1.5 to make how much profit did they make if they used all the beef?,Determine the total number of tacos by dividing the total pounds of beef by the amount of beef per taco. & Calculate the profit per taco by subtracting the cost to make each taco from the selling price. & Multiply the total number of tacos by the profit per taco to find the total profit.
A man owned 1/2 of a lot. He sold 1/10 of his share for the amount of $460. What is the worth of the entire lot?,Determine the value of the man's share by multiplying the given amount by 10. & Calculate the worth of the entire lot by doubling the value of the man's share.
"Sarah wants to start a cupcake business and was approved for a business loan.  The loan has 0% interest if she pays the entire amount back in 5 years, which she decides to do.  If she put $10,000 down as a down payment and her monthly payments are $600.00, how much was her loan for (including the down payment)?",Calculate the total number of months by multiplying the number of years by 12. & Multiply the monthly payment by the total number of months to find the total payment amount. & Add the down payment to the total payment amount to find the total loan amount.
"In five years, Grant will be 2/3 the age of the hospital that he is hired into. If Grant is currently 25 years old, how old is the hospital now?",Determine Grant's age in five years by adding 5 to his current age. & Recognize that Grant's age in five years is 2/3 of the hospital's age at that time. & Use the relationship between the fractions to find the hospital's age in five years. & Subtract 5 from the hospital's age in five years to find its current age.
"Adam has 18 magnets. He gave away a third of the magnets, and he still had half as many magnets as Peter. How many magnets does Peter have?",Determine how many magnets Adam gave away by dividing the total number of magnets by 3. & Subtract the number of magnets Adam gave away from the total to find out how many he had left. & Multiply the number of magnets Adam had left by 2 to find out how many Peter has.
"Rob planned on spending three hours reading in preparation for his literature exam. If he ends up spending only three-quarters of this time reading, and he reads a page every fifteen minutes, how many pages did he read in this time?",Convert hours to minutes by multiplying the number of hours by 60. & Find three-quarters of the total minutes by multiplying by 3/4. & Determine the number of pages read by dividing the total reading time by the time spent per page.
Mandy researched 42 med schools. She applied to 1/3 of the schools she researched and got into half of the schools where she applied. How many schools was Mandy accepted to?,Determine the number of schools Mandy applied to by dividing the total number of researched schools by 3. & Find the number of schools Mandy was accepted to by dividing the number of schools she applied to by 2.
"During April, the baker sold 453 cakes at $12 and 126 pies at $7. How much did the baker earn?",Multiply the number of cakes by the price per cake. & Multiply the number of pies by the price per pie. & Add the earnings from cakes and pies to find the total.
"Annie does a survey of the sixth-grade classes to see who prefers pretzels to goldfish. In Miss Johnson's class, 1/6 of the students preferred goldfish. In Mr. Feldstein's class, 2/3rds of the students preferred goldfish. In Ms. Henderson's class, 1/5 of the students prefer goldfish. If each class has 30 students, how many people total prefer goldfish?",Identify the fraction of students in each class who prefer goldfish. & Multiply the fraction by the total number of students in each class to find the number of students who prefer goldfish. & Sum the number of students from all classes who prefer goldfish.
"The number of math problems that Marvin practiced today is three times as many as the number of problems he solved yesterday. His friend, Arvin, has practiced twice as many math problems on each day. How many math problems have they practiced altogether if Marvin solved 40 math problems yesterday?",Determine the number of problems Marvin solved today by multiplying the number he solved yesterday by three. & Calculate the total number of problems Marvin solved by adding the problems he solved today and yesterday. & Find the total number of problems Arvin solved by doubling the total number Marvin solved. & Sum the total problems solved by Marvin and Arvin to find the overall total.
"Surfers enjoy going to the Rip Curl Myrtle Beach Surf Festival. There were 1500 surfers at the Festival on the first day, 600 more surfers on the second day than the first day, and 2/5 as many surfers on the third day as the first day. What is the average number of surfers at the Festival for the three days?",Identify the number of surfers on each day. & Sum the number of surfers over the three days. & Divide the total number of surfers by the number of days to find the average.
"During his summer break, Luke catches 2 fish every day for 30 days.  If each fish gives him 2 fillets, then how many fish fillets does he have?","First, determine the total number of fish caught by multiplying the number of fish caught per day by the number of days. & Next, calculate the total number of fillets by multiplying the total number of fish by the number of fillets per fish."
Ali is a baker. Leila ordered 3 chocolate cakes for $12 each and 6 strawberry cakes for $22 each.  How much should Leila pay Ali?,"First, determine the total cost for the chocolate cakes by multiplying the number of cakes by the price per cake. & Next, calculate the total cost for the strawberry cakes using the same method. & Finally, add the two totals together to find the overall amount Leila should pay."
Lionel walked 4 miles. Esther walked 975 yards and Niklaus walked 1287 feet. How many combined feet did the friends walk?,Convert miles to feet by multiplying by the number of feet in a mile. & Convert yards to feet by multiplying by the number of feet in a yard. & Add the distances in feet to find the total.
"In a parking lot, there are cars and motorcycles.  Each car has 5 wheels (including one spare) and each motorcycle has 2 wheels. There are 19 cars in the parking lot. Altogether all vehicles have 117 wheels. How many motorcycles are at the parking lot?",Calculate the total number of wheels contributed by the cars. & Subtract the total number of car wheels from the overall wheel count to find the number of motorcycle wheels. & Divide the number of motorcycle wheels by the number of wheels per motorcycle to find the number of motorcycles.
"Dolly wants to ride the Ferris wheel twice, the roller coaster three times, and the log ride seven times. The Ferris wheel costs 2 tickets, the roller coaster costs 5 tickets and the log ride costs 1 ticket. Dolly has 20 tickets. How many more tickets should Dolly buy?",Calculate the total tickets needed for each ride by multiplying the number of rides by the tickets per ride. & Sum the total tickets needed for all rides. & Subtract the tickets Dolly has from the total tickets needed to find out how many more she should buy.
"Rachel solved 5 math problems each minute for 12 minutes before bed, but she didn't finish all of them. The next day, she finished the last 16 problems at lunch. How many math problems did she do in all?",Multiply the number of problems solved per minute by the number of minutes to find the total problems solved before bed. & Add the problems solved before bed to the problems solved the next day to find the total number of problems solved.
"Greg is riding his bike around town and notices that each block he rides, his wheels rotate 200 times. He's now on a a trail and wants to make sure he rides at least 8 blocks. His wheels have already rotated 600 times, how many more times do they need to rotate to reach his goal?",Determine the total number of wheel rotations needed for 8 blocks. & Subtract the number of rotations already completed from the total needed.
"Ethyl bought Lucy two new dolls for her doll collection.  This increased the doll collection by 25%.  After the addition of the two new dolls, how many dolls are in Lucy's collection?",Identify the original number of dolls by setting up an equation where 25% of this number equals 2. & Solve the equation to find the original number of dolls. & Add the two new dolls to the original number to find the total.
"A mosquito sucks 20 drops of blood every time it feeds on someone. If there are 5000 drops per liter and you have to lose 3 liters of blood to die, how many mosquitoes would have to feed on you to kill you?",Determine the amount of blood a mosquito sucks in liters by converting drops to liters. & Calculate how many mosquito feedings are needed to reach the lethal amount of blood loss.
"Chris wanted to buy a new video game that costs $60 as well as an assortment of candy that costs $5.  To earn the money, he agreed to babysit his little sister for $8 per hour.  If he works 9 hours, how much money will be left over after he makes his purchases?","First, determine the total cost of the game and candy by adding their prices together. & Next, calculate the total earnings from babysitting by multiplying the hourly rate by the number of hours worked. & Finally, find the remaining money by subtracting the total cost from the total earnings."
"GiGi took out a big bowl of mushrooms from the refrigerator.  She cut each mushroom into 4 pieces.  Her twins, Kenny and Karla sprinkled mushrooms on their pizzas and baked them in the oven.  Kenny grabbed a handful and sprinkled 38 mushroom pieces on his pizza.  Karla scooped them up with both hands and sprinkled 42 mushroom pieces on her pizza.  On the cutting board, were 8 pieces of mushrooms remaining.  How many mushrooms did GiGi cut up at the beginning?",Divide the number of pieces each twin used by the number of pieces per mushroom to find out how many mushrooms each twin used. & Add the number of mushrooms used by both twins to find the total number of mushrooms they used. & Divide the remaining pieces by the number of pieces per mushroom to find out how many mushrooms are left. & Add the total number of mushrooms used by the twins to the number of mushrooms left to find the total number of mushrooms cut up.
Jason and Jeremy want to paint their wall white and agreed to split the cost of the paint. A gallon of paint costs $45 and can cover up to 400 square feet. How much will each of them contribute to the cost of the paint if their walls have a total area of 1600 square feet and will need a second coat?,Determine the total number of gallons needed by dividing the total area by the coverage per gallon. & Multiply the number of gallons by 2 for the second coat. & Calculate the total cost by multiplying the total gallons by the cost per gallon. & Divide the total cost by 2 to find each person's contribution.
"Mr. John works at a shopping mall and receives a monthly income of $2000, but he spends approximately 5% of this amount on public transport to and from the mall in a month. How much will he have left after deducting his monthly transport fare from his income?","First, determine the percentage of the income spent on transport. & Next, subtract the transport fare from the total income."
"Aaron, Henry's brother, is 15 years old. Henry's sister is three times as old as Aaron. Henry is four times as old as his sister. What's the combined age of the siblings?","Identify Aaron's age and use it to find his sister's age by multiplying by three. & Determine Henry's age by multiplying his sister's age by four. & Sum the ages of Aaron, his sister, and Henry to find the combined age."
"James is trying to avoid eating too much sodium. He's making a recipe that calls for 2 teaspoons of salt and 8 oz of parmesan cheese. Salt has 50 mg of sodium per teaspoon and parmesan has 25 mg of sodium per oz. If he can't reduce the salt, how many fewer ounces of parmesan cheese does he need to use to reduce the total amount of sodium by 1/3rd?",Calculate the total sodium from the parmesan cheese by multiplying the sodium per ounce by the number of ounces. & Calculate the total sodium from the salt by multiplying the sodium per teaspoon by the number of teaspoons. & Add the sodium from the cheese and the salt to find the total sodium in the recipe. & Multiply the total sodium by 1/3 to determine the reduction needed. & Divide the reduction amount by the sodium per ounce of cheese to find the reduction in ounces.
Tim host a show and they film mulhintle episodes per day.  Each episode is 20 minutes long and it takes 50% longer than that to film each episode.  Each week they show 5 episodes.  How many hours would it take to film 4 weeks of episodes?,Determine the additional time required to film each episode by calculating 50% of the episode length. & Add the additional time to the original episode length to find the total filming time per episode. & Calculate the total number of episodes filmed over 4 weeks. & Multiply the total number of episodes by the filming time per episode to find the total filming time in minutes. & Convert the total filming time from minutes to hours by dividing by 60.
Javier exercised for 50 minutes every day for one week. Sanda exercised for 90 minutes on each of three days. How many minutes did Javier and Sanda exercise in total?,Calculate the total minutes Javier exercised by multiplying the daily minutes by the number of days in a week. & Calculate the total minutes Sanda exercised by multiplying the minutes per session by the number of sessions. & Add the total minutes exercised by Javier and Sanda to find the combined total.
"For 6 weeks in the summer, Erica treats herself to 1 ice cream cone from the ice cream truck.  Monday, Wednesday and Friday she gets a $2.00 orange creamsicle.  Tuesday and Thursday she gets a $1.50 ice cream sandwich.  Saturday and Sunday she gets a $3.00 Nutty-Buddy.  How much money does she spend on ice cream in 6 weeks?",Identify the number of days Erica buys each type of ice cream in one week. & Calculate the total cost for each type of ice cream per week. & Sum the weekly costs to find the total weekly expenditure. & Multiply the total weekly expenditure by the number of weeks.
Mary is going on a business trip. It takes 10 minutes for her Uber to get to her house and 5 times longer to get to the airport. It takes 15 minutes to check her bag and three times as long to get through security. Then she has to wait for 20 minutes for her flight to start boarding and twice as long before the plane is ready to take off. How many hours will this process take total?,Determine the time it takes for the Uber to reach the airport by multiplying the initial time by 5. & Calculate the time to get through security by multiplying the bag check time by 3. & Find the waiting time before the plane takes off by doubling the boarding wait time. & Sum all the individual times to get the total time in minutes. & Convert the total time from minutes to hours by dividing by 60.
"Dave bought 3 packs of white T-shirts and 2 packs of blue T-shirts for his basketball team. The white T-shirts come in packs of 6, and the blue T-shirts come in packs of 4. How many T-shirts did Dave buy in all?",Determine the total number of white T-shirts by multiplying the number of packs by the number of T-shirts per pack. & Determine the total number of blue T-shirts by multiplying the number of packs by the number of T-shirts per pack. & Add the total number of white T-shirts to the total number of blue T-shirts to find the overall total.
"My mother celebrated her birthday with a total of 60 guests. Half of the guests are women, 15 are men, and the rest are children. In the middle of the celebration, 1/3 of the men and 5 children left. How many people stayed and enjoyed the birthday celebration?",Determine the number of women by dividing the total guests by 2. & Add the number of women and men to find the total number of adults. & Subtract the total number of adults from the total guests to find the number of children. & Calculate the number of men who left by dividing the number of men by 3. & Add the number of men who left to the number of children who left to find the total number of people who left. & Subtract the total number of people who left from the total guests to find the number of people who stayed.
"Allen ordered five boxes of pizza, which cost $7 each box. He then gave a hint which amounts to 1/7 of the total cost of his order. If he gave the delivery man $100, how much change did he receive?",Calculate the total cost by multiplying the number of boxes by the cost per box. & Determine the hint amount by finding 1/7 of the total cost. & Add the total cost and the hint amount to find the total expenditure. & Subtract the total expenditure from the amount given to find the change.
"Mr. Mitchell is buying pizzas for the soccer team. He buys one slice for every goal they scored on the season. A large pizza has 12 slices. If he bought 6 pizzas, and the team had 8 games, how many goals did they score per game on average?",Determine the total number of slices by multiplying the number of pizzas by the slices per pizza. & Find the average goals per game by dividing the total number of slices by the number of games.
"The Giants baseball team is trying to make their league playoff. They have played 20 games and won 12 of them. To make the playoffs, they need to win 2/3 of their games over the season. If there are 10 games left, how many do they have to win to make the playoffs?",Determine the total number of games by adding the games played to the games remaining. & Calculate the required number of wins by multiplying the total games by the fraction needed to make the playoffs. & Find the additional wins needed by subtracting the current wins from the required wins.
"Emily just purchased 2 pairs of curtains for $30.00 each and 9 wall prints at $15.00 each.  The store also offers an installation service.  For $50.00 they will come to your house and professionally hang your curtains and prints.  If Emily agrees to this service, how much will her entire order cost?","Calculate the total cost of the curtains by multiplying the number of pairs by the price per pair. & Calculate the total cost of the wall prints by multiplying the number of prints by the price per print. & Add the total costs of the curtains, wall prints, and installation service to find the overall cost."
"Faith's neighborhood, with a total of 20 homes, decided to install solar panels. Each home needed 10 panels capable of providing their power needs. The supplier of the panels brought 50 panels less than the required amount. The neighbors agreed to only install the panels up to where they'd be finished. How many homes had their panels installed?",Calculate the total number of panels needed by multiplying the number of homes by the number of panels per home. & Subtract the number of panels that were not delivered from the total number of panels needed. & Divide the number of available panels by the number of panels each home requires to find the number of homes that had panels installed.
"Trey has 7 times as many turtles as Kris. Kris has 1/4 as many turtles as Kristen has. How many more turtles does Trey have than Kristen, if Kristen has 12?",Determine how many turtles Kris has by dividing Kristen's turtles by 4. & Calculate Trey's turtles by multiplying Kris's turtles by 7. & Find the difference between Trey's turtles and Kristen's turtles.
There were 25 peaches in each basket. Five baskets of peaches were delivered to a market. The farmers have eaten 5 peaches. The remaining peaches are packed into smaller boxes of 15 each. How many boxes of peaches are there?,"First, find the total number of peaches by multiplying the number of baskets by the number of peaches per basket. & Subtract the number of peaches eaten from the total number of peaches. & Divide the remaining peaches by the number of peaches per smaller box to find the number of boxes."
"Erin is watching a TV mini series of Pride and Prejudice. There are 6 episodes that are each 50 minutes long. If Erin watches all of the episodes in one sitting, one after the other with no breaks, how many hours will she spend watching the series?","First, determine the total number of minutes by multiplying the number of episodes by the length of each episode. & Next, convert the total minutes into hours by dividing by the number of minutes in an hour."
"Micah, Dean, and Jake are all training for a marathon organized by a local NGO to support children in their town who have cancer. Micah runs 2/3 times as fast as Dean. It takes Jake 1/3 times more time to finish the marathon than it takes Mica. If Dean takes 9 hours, what's the total time the three take to complete the marathon?",Determine Micah's time by using the given ratio with Dean's time. & Calculate Jake's additional time based on Micah's time. & Sum the times of all three participants to find the total time.
There are 8 red pens in Maria's desk drawer. There are 10 more black pens than red pens. There are also 7 more blue pens than red pens. How many pens are there in all?,"Determine the number of black pens by adding the given difference to the number of red pens. & Determine the number of blue pens by adding the given difference to the number of red pens. & Sum the quantities of red, black, and blue pens to find the total number of pens."
"The new pad of paper has 120 pages. Sammy uses 25% of the pages for his science project, and another 10 pages for his math homework. How many pages remain in the pad?","First, determine the number of pages used for the science project by calculating 25% of the total pages. & Next, subtract the pages used for the science project from the total pages to find the remaining pages. & Finally, subtract the pages used for math homework from the remaining pages to find the final number of pages left."
"Hanna has $300. She wants to buy roses at $2 each and give some of the roses to her friends, Jenna and Imma. Jenna will receive  1/3 of the roses, and  Imma will receive 1/2 of the roses. How many roses does Hanna give to her friends?",Determine the total number of roses Hanna can buy by dividing her total money by the price per rose. & Calculate the number of roses Jenna will receive by finding one-third of the total roses. & Calculate the number of roses Imma will receive by finding one-half of the total roses. & Add the number of roses given to Jenna and Imma to find the total number of roses given to her friends.
"Gloria wants to buy the $129,000 mountain cabin that her friend Alfonso is selling. She only has $150 in cash. She intends to raise the remaining amount by selling her mature trees for lumber. She has 20 cypress trees, 600 pine trees, and 24 maple trees. She will get $100 for each cypress tree, $300 for a maple tree, and $200 per pine tree. After paying Alfonso for the cabin, how much money will Gloria have left?",Calculate the total amount Gloria will earn from each type of tree. & Sum the earnings from all the trees and add her initial cash. & Subtract the cost of the cabin from the total amount.
"Giorgio plans to make cookies for his class. There are 40 students and he plans to make 2 cookies per student. If 10% of his classmates want oatmeal raisin, then how many oatmeal raisin cookies will Giorgio make?",Determine the number of students who want oatmeal raisin cookies by calculating 10% of the total number of students. & Multiply the number of students who want oatmeal raisin cookies by the number of cookies Giorgio plans to make per student.
"Diana wants to buy winter clothes for all the 40 children at her local children's home. The home has five times as many teenagers as toddlers. There are also some newborns. If there are 6 toddlers, for how many newborns will Diana be shopping?",Determine the number of teenagers by multiplying the number of toddlers by five. & Subtract the total number of teenagers and toddlers from the total number of children to find the number of newborns.
"Jason sent 220 text messages on Monday, half as many text messages on Tuesday, and 50 text messages each day Wednesday through Friday. How many text messages did he send on average during those five days?",Determine the number of text messages sent on Tuesday by dividing Monday's messages by 2. & Calculate the total messages sent from Wednesday to Friday by multiplying the daily messages by 3. & Sum the messages sent on all days to find the total. & Divide the total number of messages by the number of days to find the average.
